,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",48,4,5864,1957.333333,4,2791.663375,7793384.397,4,5864,5864,4,4,5864,162.8484585,-1869.605442,0.666956144
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",48,4,5864,1957.333333,4,2791.663375,7793384.397,4,5864,5864,4,4,5864,162.8484585,-1869.605442,0.666956144
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",48,4,5864,1957.854167,4,2791.291594,7791308.766,4,5864,5864,4,4,5864,162.8536149,-1869.205782,0.667176072
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",48,4,5864,1957.333333,4,2791.663375,7793384.397,4,5864,5864,4,4,5864,162.8484585,-1869.605442,0.666956144
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",48,4,5864,1958.583333,9,2790.770852,7788401.95,4,5864,5864,4,4,5864,162.8462875,-1868.304422,0.667365019
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",48,4,5864,1958.895833,9,2790.547588,7787155.84,4,5864,5864,4,4,5864,162.8514438,-1868.113095,0.667514081
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 7",48,4,5864,1958.375,9,2790.919666,7789232.58,4,5864,5864,4,4,5864,162.8517152,-1868.640306,0.667338335
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 8",48,4,5864,1957.333333,4,2791.663375,7793384.397,4,5864,5864,4,4,5864,162.8484585,-1869.605442,0.666956144
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 8",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 8",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 9",48,4,5864,1958.479167,9,2790.845262,7788817.276,4,5864,5864,4,4,5864,162.8433022,-1868.338435,0.667304966
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 9",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 9",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 10",48,4,5864,1959,9,2790.473154,7786740.426,4,5864,5864,4,4,5864,162.8484585,-1867.938776,0.667525219
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 10",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 11",48,4,5864,1958.791667,9,2790.622015,7787571.232,4,5864,5864,4,4,5864,162.8506296,-1868.198129,0.667471802
