,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,10:37.0,5784,5,5,3.37910978,95.06470627,260.4250421,1327.109595,[[3.27319763847261;0;0][0;3.27319001675771;0][0;0;3.27289486539525][0.604378152827983;0.483238172618406;2.18780567385109][...]],47.41687542,10,891810060,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,11:34.1,6471,5,5,0.26093822,63.16572344,142.0677155,1330.736053,[[0;0;1.01305033447662][1.01305033447662;0;0][0;1.01305036438247;0][0.438229425496044;0.463414026029044;0.111406886810842][...]],67.57994567,10,1352881851,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,11:58.3,6955,5,5,0.025959647,20.95944062,44.64999717,1330.969944,[[0;0.484854258940018;0.104907987176791][0;0.589607427699256;0][0.589642022480696;0;0][0;0;0.589602457604343][...]],26.15989107,10,1261882028,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,12:26.8,6135,5,5,0.016219832,23.92876991,77.24124974,1330.982937,[[0;0;0.503679208483476][0;0.503679208483476;0][0.503679208483476;0;0][0.222064125552579;0.134807852414514;0.146807230516383][...]],16.20301167,10,884563565,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,10:56.5,5784,5,5,279.830976,86.11975063,232.3417419,1050.550411,[[0;0;13.1402498341472][13.1402498342213;0;0][0;13.1402498341877;0][0;6.57012491709211;6.57012491709211][...]],37.92210145,10,793891227,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,11:43.9,6471,5,5,0.044122544,49.71893851,109.1525266,1330.953223,[[0;0.625580511131496;0][0;0;0.62550444834547][0.62551135907044;0;0][0.145148393647558;0.449978347972473;0.0379648526717925][...]],52.87481609,10,124547118,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:23.9,6135,5,5,1.131009634,30.09031094,90.54129676,1329.844739,[[0;0;1.84472948986666][0;1.84472882968399;0][1.8447329519412;0;0][0.258058011988657;0.503897357901277;1.08277291382581][...]],16.75966788,10,1111567588,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:04.5,6955,5,5,0.035668224,21.11162882,50.29851239,1330.96365,[[0;0;0.521976290083359][0;0.521976290175107;0][0.521976290173953;0;0][0.0797468423428912;0.160409816380395;0.281819631440897][...]],15.80543,10,393264561,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:03.6,5784,5,5,1009.901316,83.84001857,315.8764002,320.4800719,[[16.5781305657571;0;0][0;0;16.5780973293572][0;16.5827342607442;0][9.51529257573722;6.00804041699914;1.05584701707208][...]],39.22989879,10,2100101628,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,11:50.1,6471,5,5,0.014719105,25.42922774,64.18770481,1330.985091,[[0;0;0.5154697214926][0;0.5154697214926;0][0.515468190959744;0;0][0.0575252873323483;0.276162172843496;0.18178343865667][...]],19.47792974,10,1194243808,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:33.7,6135,5,5,0.06170243,36.042294,94.77738702,1330.937045,[[0;0.653964958880515;0][0.653964958880515;0;0][0;0;0.653964958879982][0.20411973176472;0.122862747675537;0.326982479440257][...]],29.03267894,10,561860663,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:12.3,6955,5,5,0.04608425,26.42060229,64.397161,1330.953767,[[0.516621243530146;0;0][0;0.51660665599017;0][0;0;0.516605337214948][0.295847405645736;0.142936118299218;0.0778273510133238][...]],28.53803828,10,1095301980,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 4",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:07.1,5784,5,5,525.2720825,81.91847442,299.0872763,805.109305,[[14.8152605203007;0;0][0;14.8152605217191;0][0;0;14.8152605203007][3.03686839041869;2.35602115651836;9.4223709733636][...]],48.32514276,10,721025384,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 4",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:39.8,6135,5,5,0.897425645,45.05324295,129.721595,1330.051128,[[1.69826539041785;0;0][0;1.71843261824264;0][0;0;1.71804802854006][0.376636654567367;1.09136228982136;0.250433673853911][...]],35.18083478,10,1119936700,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 4",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,11:56.4,6471,5,5,0.083478386,50.96213914,128.8988294,1330.914057,[[0;0;0.804804343270426][0;0.804804343270426;0][0.804804343270426;0;0][0.469372207177387;0.143938852151947;0.191493283941092][...]],45.54454008,10,1254726629,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 4",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:19.7,6955,5,5,0.026841974,17.6176089,41.59020805,1330.970966,[[0.51271395242517;0;0][0;0.512713747183035;0][0;0;0.512154886027194][0.154375894083256;0.166413285153548;0.191155413319752][...]],20.57624206,10,689028800,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 5",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:22.9,5784,5,5,154.8992018,71.28964468,293.5416953,1175.482186,[[0;9.43662543427354;0][0;0;9.43662543427354][9.43662543427354;0;0][2.21243113431163;4.41724871361825;2.80694558634366][...]],47.89154888,10,397923962,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 5",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:47.3,6135,5,5,0.147353945,19.24837391,77.91630587,1330.835361,[[0;0;1.89100673999693][0;1.89100706454904;0][1.89100714520914;0;0][0.320488730808888;1.39799503062502;0.172523324118158][...]],14.29537547,10,1228941866,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 5",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:06.3,6471,5,5,0.033396764,48.19572406,119.332931,1330.96618,[[0;0;0.585074241906913][0;0.585074255504392;0][0.585116679302555;0;0][0.184364192009046;0.316129822457493;0.084619530605541][...]],47.69181721,10,2026962466,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 5",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:29.1,6955,5,5,0.105363726,27.04053723,71.8499243,1330.8896,[[0.823764918370451;0;0][0;0;0.823764918371694][0;0.823764918411218;0][0.340169811045931;0.264303336578088;0.219291770810736][...]],17.65600087,10,500866904,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 6",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:22.6,5784,5,5,155.4028159,78.75916077,293.2572973,1174.978572,[[10.0009414487437;0;0][0;0;10.0009414487571][0;10.0009414487571;0][3.73188138080972;5.45486207721518;0.81419799073225][...]],58.3815472,10,826585185,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 6",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:58.0,6135,5,5,0.299978918,25.65813715,86.81669047,1330.685567,[[1.39846170554759;0;0][0;1.39846170031969;0][0;0;1.39207844989962][0.195522467236132;1.06815203524443;0.137951917664083][...]],22.30555096,10,780757319,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 6",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:15.2,6471,5,5,0.018024386,54.04989062,145.2876282,1330.980231,[[0;0;0.503016828091873][0;0.503016828091873;0][0.503016828091873;0;0][0.0356654779260711;0.146177126133171;0.321174224032631][...]],47.49803347,10,704872235,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 6",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:39.1,6955,5,5,0.021912245,18.19551231,46.35745909,1330.97584,[[0.502536605157566;0;0][0;0.502536605157566;0][0;0;0.502536605157566][0.398028114235268;0.0538394648351377;0.0506690879370632][...]],14.62204675,10,81131265,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 7",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:30.9,5784,5,5,982.9109233,66.31749622,230.3862455,347.4704642,[[0;16.8292783588807;0][0;0;16.8060741037687][16.827601051376;0;0][5.73810061500713;2.71058725258479;8.36708426300602][...]],55.12691606,10,1794977047,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 7",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,12:02.3,6135,5,5,0.016969633,41.77676264,86.4958366,1330.982437,[[0.517729033747038;0;0][0;0;0.517729033747038][0;0.517729033747038;0][0.113826705463926;0.237679492437108;0.166222835846004][...]],50.07958862,10,1288485926,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 7",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:21.6,6471,5,5,0.032977359,48.92084161,104.8757913,1330.965147,[[0;0;0.563421243942763][0;0.563639143392269;0][0.563353492860063;0;0][0.260666599929846;0.235980553835266;0.0667349346516297][...]],58.29210014,10,567066899,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 7",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:46.3,6955,5,5,0.085360186,20.12469862,51.8950205,1330.905375,[[0.689523119558288;0;0][0;0.689523119558288;0][0;0;0.68952311956042][0.162622716974157;0.487868150922472;0.0390322516621912][...]],18.22664142,10,1082438309,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 8",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:33.7,5784,5,5,728.3888995,84.35237303,277.8123344,601.992488,[[0;0;16.0250223250647][16.0430993337047;0;0][0;16.0274108752544;0][1.58543597207922;10.1372988320669;4.3450531995474][...]],49.93589367,10,1243315990,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 8",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,12:05.7,6135,5,5,0.241053171,25.99091732,77.28092395,1330.743503,[[0;0;1.04398722541702][1.04398722541702;0;0][0;1.04398722541702;0][0.345578001730017;0.499802651259522;0.198855255998816][...]],18.15793108,10,364606098,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 8",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:22.1,6471,5,5,0.047531081,29.68438765,69.56623237,1330.951267,[[0;0;0.613277634219333][0;0.613283014029975;0][0.613291049522335;0;0][0.431597518305254;0.12742117779127;0.0542641343920908][...]],37.36713019,10,873799834,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 8",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:45.6,6955,5,5,0.103902289,21.6796128,57.28181033,1330.892156,[[0;0;0.850694490129833][0.850692480636372;0;0][0;0.85069316767764;0][0.167323806497767;0.574213455982222;0.109155218156295][...]],21.94209156,10,1119851626,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 9",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:35.1,5784,5,5,1042.631964,83.86283491,280.3552969,287.7494234,[[18.9159289657886;0;0][0;18.9159289657886;0][0;0;18.9159071107132][1.28059619787498;1.83575547022534;15.7995772976883][...]],50.4036233,10,1846862036,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 9",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,12:00.8,6135,5,5,0.868828871,41.02896657,100.599157,1330.036711,[[0;0;1.57881978208715][0;1.58259239210406;0][1.58259239210406;0;0][0.381624217642119;0.924017682560027;0.288509151693086][...]],37.52918932,10,1337226154,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 9",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:16.5,6471,5,5,0.044540967,42.56940852,92.99917622,1330.955355,[[0;0.500343685125426;0][0;0;0.500343685125426][0.500343685125426;0;0][0.255108854666912;0.226391971953029;0.0188428585054849][...]],35.22305271,10,2058037922,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 9",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:35.4,6955,5,5,0.020822387,19.5285935,55.85778006,1330.978804,[[0.506892320699237;0;0][0;0.506839307192941;0][0;0;0.506870544260629][0.048675420996194;0.084383028312885;0.373813538672959][...]],13.60981954,10,926792433,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 10",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:24.2,5784,5,5,8.991794714,74.39459101,266.6368939,1321.453798,[[0;4.10019572811696;0][0;0;4.10023691767255][4.10019572811696;0;0][0.489933168310245;0.997975685961808;2.61240004436844][...]],42.01555137,10,1532092621,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 10",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:50.8,6135,5,5,0.395163444,30.95316162,91.32768269,1330.568035,[[1.6250243337857;0;0][0;1.62473056980829;0][0;0;1.62494352167509][0.653815158573335;0.412723674665217;0.558461782305196][...]],36.9666267,10,617324262,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 10",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:09.1,6471,5,5,0.022799649,47.36624146,93.81726758,1330.976849,[[0.504362374449318;0;0][0;0;0.504362374449318][0;0.504362374449318;0][0.0744804166867141;0.344749487818792;0.0851324699438122][...]],58.34312309,10,1426105595,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:21.0,5784,5,5,15.95041077,79.67192214,203.0333904,1314.787062,[[0;4.83506081757677;0][4.83506081757677;0;0][0;0;4.83506081757677][0.0612972621970177;1.29579752484312;3.47796603053664][...]],52.41070088,10,1297931617,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 10",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:30.9,6955,5,5,0.025164704,14.24613605,36.79109098,1330.974269,[[0;0.501085021109848;0][0;0;0.501085021109848][0.501085021109848;0;0][0.190463914084381;0.199442241691597;0.111178865333871][...]],12.98917992,10,164445618,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:51.0,6135,5,5,0.229161403,23.11934237,67.31102851,1330.752026,[[0;0;1.04482103804236][1.04482103804236;0;0][0;1.04482103804236;0][0.247290499810508;0.070107055196369;0.727423483035487][...]],19.00899168,10,1892808486,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 11",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:07.7,6471,5,5,0.070881708,56.77891783,131.0066613,1330.928179,[[0;0;0.656919061383221][0.656919211217676;0;0][0;0.656919061383221;0][0.321326587449489;0.235088760033515;0.120685164826454][...]],43.17252853,10,12274215,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:10.5,5784,5,5,15.87254247,65.14956399,252.7282495,1314.508845,[[0;5.2514445897229;0][0;0;5.2514445897229][5.2514445897229;0;0][1.24054343070163;3.00197597441462;1.00896160785017][...]],39.53379452,10,1227907861,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 11",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:26.3,6955,5,5,0.012970509,27.48512816,71.42714094,1330.984131,[[0.542071917241504;0;0][0;0;0.542071917241504][0;0.542071917241504;0][0.294762584825181;0.132810926707382;0.114498405708941][...]],20.02260161,10,318718051,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 12",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:46.1,6135,5,5,0.461208009,36.99734634,87.96463494,1330.524996,[[1.55715948980905;0;0][0;1.55720810671182;0][0;0;1.55721098912763][0.338517722404781;0.62236003864728;0.597060110363798][...]],36.53731926,10,963387983,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 12",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:02.2,6471,5,5,0.059988489,66.36604753,127.8754635,1330.937841,[[0.707224761488067;0;0][0;0.70733523540466;0][0;0;0.707575557737805][0.144935884050083;0.0886149424794316;0.47417895083265][...]],59.18899101,10,1969127905,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:04.6,5784,5,5,60.7607782,64.01626839,262.9150935,1269.620609,[[6.79560624397989;0;0][0;6.79567407883158;0][0;0;6.79560626544965][2.8303265443563;2.11687049324567;1.84863742120132][...]],36.46616333,10,2118556638,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 12",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:25.7,6955,5,5,0.078429261,40.10739526,82.86379555,1330.919805,[[0.635487933327916;0;0][0;0.656080208297915;0][0;0;0.641284195263935][0.402546894332174;0.2516196168503;0][...]],46.25034228,10,2019849427,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 13",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:45.2,6135,5,5,3.547095188,25.70949931,96.62568879,1327.433296,[[0;2.41258166766639;0][0;0;2.41258166752366][2.41258166752899;0;0][0.840648142779232;0.828274316761652;0.743659208124974][...]],17.20681487,10,298706079,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 13",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:04.1,6471,5,5,0.074654675,40.08171346,87.66934169,1330.924927,[[0;0;0.646652947391335][0;0.646652947391335;0][0.646652947391335;0;0][0.168930588148431;0.155213322262882;0.322509036980021][...]],44.56133389,10,1264137539,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:05.6,5784,5,5,11.09029927,70.72773597,191.1143423,1319.291088,[[0;3.46673182589027;0][0;0;3.46673182589027][3.46673183099365;0;0][1.78479089735436;1.03585853329407;0.646082398062248][...]],65.72279395,10,1646828002,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 13",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:26.8,6955,5,5,0.013597096,19.76703347,50.98014606,1330.985297,[[0;0.502013438303727;0][0;0;0.501162281659095][0.501197928327112;0;0][0.0576159146014475;0.280374624022708;0.163893988529018][...]],17.30234795,10,999214714,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 14",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:46.5,6135,5,5,0.050792744,40.18621228,122.3917803,1330.947621,[[0.604543295941983;0;0][0;0.604543295941983;0][0;0;0.604543295941983][0.186596864517758;0.342705820331407;0.0752406110928183][...]],46.27693843,10,1310811357,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 15",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:08.7,5784,5,5,1257.434934,85.79498165,312.8791752,72.94645357,[[20.7356870910184;0;0][0;20.7356869933532;0][0;0;20.7356869866969][12.7827512603913;4.56136724625104;3.39156856925429][...]],49.48265492,10,572124532,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 14",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:04.2,6471,5,5,0.029797122,69.49791706,143.2824883,1330.969789,[[0.500000316347393;0;0][0;0.500000316347393;0][0;0;0.500000311879855][0.130858538402724;0.0859236721300074;0.283218104959701][...]],100.9946418,10,1677812654,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 14",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:28.3,6955,5,5,0.025557867,20.57690643,46.74193768,1330.97418,[[0;0.504276234136924;0][0.504276234118628;0;0][0;0;0.504276234112233][0.186668765048502;0.0758538780380753;0.241753591029386][...]],17.79410999,10,179691330,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 15",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:47.4,6135,5,5,0.679559582,42.67315876,118.8352314,1330.320045,[[1.55191294399818;0;0][0;0;1.55106951724228][0;1.55276448338891;0][0.631875276420728;0.458596363388977;0.462292843579208][...]],38.11894902,10,1180750763,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 16",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:10.9,5784,5,5,994.2825872,96.68215663,301.3722587,336.0988003,[[17.5103848979897;0;0][0;0;17.5103848979897][0;17.5103848979897;0][2.68447569486117;9.04748218679194;5.77842701633661][...]],69.10817791,10,1244316660,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 15",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:04.9,6471,5,5,0.236486895,34.26985007,91.77690711,1330.760674,[[0;0;1.05833079347556][1.05833079347556;0;0][0;1.05833079347556;0][0.350391587471062;0.211721607155908;0.496348359864381][...]],22.56653117,10,1652888948,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 15",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:28.7,6955,5,5,0.04421046,22.84162404,50.10099195,1330.954017,[[0;0.538127039880287;0][0.538127039395963;0;0][0;0;0.538127039203228][0.32795946613533;0.123013673273188;0.0871539000925172][...]],24.79119302,10,1704963866,20,DTLZ1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 16",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,11:50.5,6135,5,5,0.043926698,26.31019607,78.91047849,1330.955243,[[0;0;0.510632811899036][0;0.510632811899036;0][0.510632811899036;0;0][0.226483284352258;0.219832901503449;0.0643166260433296][...]],22.74736618,10,1458309899,20,DTLZ1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 17",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:12.7,5784,5,5,992.5843166,77.93106248,267.2360015,337.7970709,[[0;17.0638534715681;0][0;0;17.0638534474198][17.063882123035;0;0][3.29760794821857;11.9934942964983;1.77274885579722][...]],48.77576353,10,2015735245,20,DTLZ1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 16",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:08.0,6471,5,5,0.022947801,62.60206302,140.462413,1330.976683,[[0;0.575503701147461;0][0;0;0.575503701162738][0.575503701205371;0;0][0.158509845666387;0.19485198572937;0.222141869756856][...]],63.23112327,10,1735495530,20,DTLZ1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 16",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,12:33.4,6955,5,5,0.019868677,25.82848731,74.33912296,1330.979743,[[0;0.500864021659286;0][0;0;0.500864021622959][0.500864021640012;0;0][0.0464799261102296;0.0651129786882194;0.389271116881976][...]],19.04851667,10,320443974,20,DTLZ1
